x y z_exact
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.000000 -0.000000 0.000000
0.010101 0.000000 0.000000
0.010100 0.000176 0.000000
0.010095 0.000353 0.000000
0.010087 0.000529 0.000000
0.010076 0.000705 0.000001
0.010063 0.000880 0.000001
0.010046 0.001056 0.000001
0.010026 0.001231 0.000001
0.010003 0.001406 0.000001
